1, "SMRTG", "Smart Güneş Enerjisi Teknolojileri Ar-Ge Üretim San. ve Tic. A.Ş.", "14,00 TL", "16-17-18 Mart 2022"
2, "KZBGY", "Kızılbük Gayrimenkul Yatırım Ortaklığı A.Ş.", "15,80 TL", "4-6 Ağustos 2021"
3, "GENIL", "Gen İlaç ve Sağlık Ürünleri San. ve Tic. A.Ş.", "10,75 TL", "28-30 Temmuz 2021"
1, "SMRTG", "Smart Güneş Enerjisi Teknolojileri Ar-Ge Üretim San. ve Tic. A.Ş.", "14,00 TL", "16-17-18 Mart 2022"
2, "KZBGY", "Kızılbük Gayrimenkul Yatırım Ortaklığı A.Ş.", "15,80 TL", "4-6 Ağustos 2021"
